category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
"Fruits & Vegetables",Carrot,13.00,15,0,11.00,250,TRUE,200
"Fruits & Vegetables",Beetroot,11.00,18,0,9.00,250,TRUE,250
"Fruits & Vegetables","Moong Sprouts",35.00,17,0,29.00,200,TRUE,200
"Fruits & Vegetables","Safal Frozen Mixed Vegetables",60.00,5,0,57.00,500,TRUE,500
"Fruits & Vegetables","Safal Frozen Corn",41.00,4,0,39.00,200,TRUE,200
"Fruits & Vegetables","Safal Frozen - Sweet Corn",160.00,5,0,152.00,1000,TRUE,1
"Cooking Essentials","Maggi 2 Minute Masala Noodles",12.00,0,6,12.00,70,FALSE,70
"Cooking Essentials","iD Idli & Dosa Batter",80.00,15,6,68.00,1000,FALSE,1
"Cooking Essentials","Tata Salt",24.00,0,6,24.00,1000,FALSE,1
"Cooking Essentials","Arden Eggs White",97.00,0,4,97.00,696,FALSE,12
"Cooking Essentials","Arden Eggs White",65.00,15,4,55.00,348,FALSE,6
"Cooking Essentials","Fortune Sunlite Refined Sunflower (Pouch)",230.00,4,6,219.00,1000,FALSE,1
"Cooking Essentials","Aashirvaad Superior MP Atta",250.00,2,6,245.00,5000,FALSE,5
"Cooking Essentials","Amul Pure Ghee (Pouch)",255.00,2,6,249.00,500,FALSE,500
"Cooking Essentials","Arden Eggs Brown",85.00,7,4,79.00,348,FALSE,6
"Cooking Essentials","Tata Salt Lite",40.00,10,6,36.00,1000,FALSE,1
"Cooking Essentials","Saffola Gold Oil (Pouch)",215.00,0,6,215.00,1000,FALSE,1
"Cooking Essentials","Fortune Sunlite Refined Sunflower (Jar)",925.00,0,6,925.00,5000,FALSE,5
"Cooking Essentials","Fortune Rice Bran (Pouch)",225.00,11,6,199.00,1000,FALSE,1
"Cooking Essentials","Saffola Active Oil",210.00,0,6,210.00,1000,FALSE,1
"Cooking Essentials","Amul Pure Ghee (Pouch)",505.00,1,2,499.00,1000,FALSE,1
"Cooking Essentials","Aashirvaad Atta",460.00,13,6,399.00,10000,FALSE,10
"Cooking Essentials","Popular Essentials Toor Dal (Un-Polished)",160.00,6,4,149.00,1000,FALSE,1
"Cooking Essentials","Amul Ghee (Tin)",520.00,2,6,509.00,1000,FALSE,1
"Cooking Essentials","Amul Fresh Cream",197.00,3,3,191.00,1000,FALSE,1
"Cooking Essentials","Popular Essentials Pure Jaggery",50.00,2,6,49.00,450,FALSE,450
"Cooking Essentials","Aashirvaad Multigrain Atta",64.00,3,2,62.00,1000,FALSE,1
"Cooking Essentials","Fortune Soyabean Oil",1005.00,0,6,999.00,5000,FALSE,5
"Cooking Essentials","Popular Essentials Sunflower Seeds",25.00,0,6,25.00,50,FALSE,50
"Cooking Essentials","Tata Sampann kabuli chana",185.00,1,4,183.00,1000,FALSE,500
"Cooking Essentials","Dhara Groundnut Oil (Pouch)",230.00,11,6,203.00,1000,FALSE,1
"Cooking Essentials","Dhara Health Refined Sun Flower Oil Jar",1200.00,18,6,984.00,5000,FALSE,5
"Cooking Essentials","24 Mantra Organic Jaggery Powder",80.00,15,6,68.00,500,FALSE,500
"Cooking Essentials","Tata Sampann High Protien Kabuli Chana",94.00,0,1,94.00,500,FALSE,500
"Cooking Essentials","Dhara Kachi Ghani Mustard Oil Jar",1250.00,8,6,1143.00,5000,FALSE,5
"Cooking Essentials","D'lecta Dairy Cream",54.00,5,6,51.00,200,FALSE,200
"Cooking Essentials","Ching's Secret Instant Hot Garlic Noodles",15.00,0,3,15.00,60,FALSE,60
"Cooking Essentials","Dabur Ginger Garlic Paste",25.00,8,3,23.00,100,FALSE,100
"Cooking Essentials","Ching's Secret Instant Schezwan Noodles",15.00,0,6,15.00,60,FALSE,60
"Cooking Essentials","Gowardhan Ghee/Tuppa Jar",315.00,1,6,309.00,500,FALSE,500
"Cooking Essentials","Tata Sampann Unpolished Moong Dal",92.00,4,4,88.00,500,FALSE,500
"Cooking Essentials","Aashirvaad Select Atta",64.00,0,6,64.00,1000,FALSE,1
"Cooking Essentials","Popular Essentials Misri Dana (Diamond Sugar)",15.00,0,4,15.00,100,FALSE,100
"Cooking Essentials","Gowardhan Ghee Jar",598.00,3,6,579.00,1000,FALSE,1
"Cooking Essentials","Top Ramen  Noodles Curry Veg Pouch",20.00,0,1,20.00,70,FALSE,70
"Cooking Essentials","Popular Essentials Refined Sugar",60.00,0,6,60.00,1000,FALSE,1
"Cooking Essentials","Fortune Kachi Ghani Mustard Oil Bottle",216.00,7,6,199.00,1000,FALSE,1
"Cooking Essentials","Saffola Veggie Twist Masala Oats",15.00,0,6,15.00,38,FALSE,38
"Cooking Essentials","Satyam Puffed Rice Kurmura (R)",23.00,0,6,23.00,200,FALSE,200
"Cooking Essentials","Quaker Oats",79.00,0,2,79.00,400,FALSE,400
"Cooking Essentials","Aashirvaad Select Sharbati Atta",315.00,10,6,283.00,5000,FALSE,5
"Cooking Essentials","Popular Essentials Refined Sugar",295.00,10,6,265.00,5000,FALSE,5
"Cooking Essentials","Gowardhan Cow Ghee Pouch",579.00,10,6,521.00,1000,FALSE,1
"Cooking Essentials","Dhara Nourish Refined Sunflower Oil Pouch",210.00,5,6,199.00,1000,FALSE,1
"Cooking Essentials","Parachute Oil",40.00,7,3,37.00,100,FALSE,100
"Cooking Essentials","Popular Essentials Plain Puffed Rice (Murmura/Muri)",18.00,0,6,18.00,100,FALSE,100
"Cooking Essentials","Amul Mithai Mate Condensed Sweetened Milk",56.00,3,4,54.00,200,FALSE,200
"Cooking Essentials","Saffola Gold (Jar)",1240.00,0,6,1240.00,5000,FALSE,5
"Cooking Essentials","McCain New Mini Samosa with Cheese Pizza Style Filling",120.00,1,3,118.00,240,FALSE,240
"Cooking Essentials","Fortune Rice Bran Health Oil (Jar)",1050.00,1,6,1039.00,5000,FALSE,5
"Cooking Essentials","Arden Desi Eggs",110.00,13,4,95.00,348,FALSE,6
"Cooking Essentials","Fortune Rozana Basmati Rice",585.00,21,6,462.00,5000,FALSE,5
"Cooking Essentials","Fortune Biriyani Special Basmati Rice",175.00,0,5,175.00,1000,FALSE,1
"Cooking Essentials","Everest Garam Masala",78.00,7,5,72.00,100,FALSE,100
"Cooking Essentials","Popular Essentials Pumpkin Seeds",90.00,16,6,75.00,100,FALSE,100
"Cooking Essentials","Fortune Soya Health Refined Soybean Oil",210.00,1,2,206.00,1000,FALSE,1
"Cooking Essentials","Gowardhan Pure Ghee Pouch",295.00,4,6,281.00,500,FALSE,500
"Cooking Essentials","Popular Essentials Jeera/Cumin Seeds",40.00,5,3,38.00,100,FALSE,100
"Cooking Essentials","Weikfield Baking Soda",30.00,3,6,29.00,100,FALSE,100
"Cooking Essentials","Everest Pav Bhaji Masala",37.00,10,4,33.00,50,FALSE,50
"Cooking Essentials","Tata Sampann Unpolished Chana Dal",95.00,6,2,89.00,1000,FALSE,500
"Cooking Essentials","Amul Mithai Mate EOE Tin",112.00,2,6,109.00,400,FALSE,400
"Cooking Essentials","Pillsbury Chakki Fresh Atta",450.00,16,6,375.00,10000,FALSE,10
"Cooking Essentials","Everest Chicken Masala",39.00,2,1,38.00,50,FALSE,50
"Cooking Essentials","Dhara Life Refined Ricebran Oil (Pouch)",205.00,7,6,190.00,1000,FALSE,1
"Cooking Essentials","Borges Extra Virgin Olive Oil",400.00,25,1,299.00,250,FALSE,250
"Cooking Essentials","Everest Shahi Biryani Masala",70.00,14,6,60.00,50,FALSE,50
"Cooking Essentials","Popular Essentials Californian Almond",350.00,28,6,251.00,250,FALSE,250
"Cooking Essentials","Popular Essentials Ajwain Whole",25.00,0,4,25.00,50,FALSE,50
"Cooking Essentials","Everest Tikhalal Chilli Powder",235.00,9,6,212.00,500,FALSE,500
"Cooking Essentials","Popular Essentials Kabuli Chana Regular",85.00,9,6,77.00,500,FALSE,500
"Cooking Essentials","Pillsbury Chakki Fresh Atta",52.00,0,4,52.00,1000,FALSE,1
"Cooking Essentials","Popular Essentials Saunf/Fennel Seeds",45.00,2,6,44.00,100,FALSE,100
"Cooking Essentials","Popular Essentials Bansi Sooji",35.00,2,3,34.00,500,FALSE,500
"Cooking Essentials","Happilo Premium International Queen Kalmi Dates",245.00,29,6,172.00,200,FALSE,200
"Cooking Essentials","Tata Sampann Unpolished Urad Whole",101.00,6,4,94.00,500,FALSE,500
"Cooking Essentials","Popular Essentials Cashew Split",325.00,12,6,283.00,250,FALSE,250
"Cooking Essentials","Popular Essentials Chana Dal (Un-Polished)",60.00,10,6,54.00,500,FALSE,500
"Cooking Essentials","Tata Sampann Unpolished Rajma (Chitra)",134.00,6,6,125.00,500,FALSE,500
"Cooking Essentials","Everest Garam Masala",42.00,2,2,41.00,50,FALSE,50
"Cooking Essentials","Everest Kitchen King Masala",70.00,14,2,60.00,100,FALSE,100
"Cooking Essentials","24 Mantra Organic Cumin",70.00,7,2,65.00,100,FALSE,100
"Cooking Essentials","Nestle Milkmaid",132.00,3,6,128.00,400,FALSE,400
"Cooking Essentials","Popular Essentials Sona Masouri Steam Rice",65.00,9,6,59.00,1000,FALSE,1
"Cooking Essentials","24 Mantra Organic Tur Dal",260.00,20,6,208.00,1000,FALSE,1
"Cooking Essentials","Gits Gulab Jamun Instant Dessert Mix",99.00,10,6,89.00,200,FALSE,200
"Cooking Essentials","Popular Essentials Black Masoor Whole (Un-Polished)",65.00,10,3,58.00,500,FALSE,500
"Cooking Essentials","24 Mantra Organic Peanuts",135.00,7,1,125.00,500,FALSE,500
"Cooking Essentials","Everest Hingraj Powder",90.00,10,2,81.00,50,FALSE,50
"Cooking Essentials","Everest Black Pepper Powder",135.00,14,6,115.00,100,FALSE,100
"Cooking Essentials","Tata Sampann Masoor Dal Stand",150.00,10,4,134.00,1000,FALSE,1
"Cooking Essentials","24 Mantra Organic Besan",95.00,7,5,88.00,500,FALSE,500
"Cooking Essentials","Quaker Oats",199.00,7,6,184.00,1000,FALSE,1
"Cooking Essentials","Saffola Gold Refined Cooking Oil (Jar)",485.00,7,6,449.00,2000,FALSE,2
"Cooking Essentials","Nestle Everyday Dairy Whitener",210.00,0,4,210.00,400,FALSE,400
"Cooking Essentials","24 Mantra Organic Red Poha",75.00,8,1,69.00,500,FALSE,500
"Cooking Essentials","Everest Powder - Tea Masala",98.00,9,5,89.00,100,FALSE,100
"Cooking Essentials","Tata Sampann Urad Dal Split",94.00,4,6,90.00,500,FALSE,500
"Cooking Essentials","Popular Essentials Idli Sooji",30.00,6,6,28.00,500,FALSE,500
"Cooking Essentials","Popular Essentials Dessicated Coconut",95.00,9,6,86.00,200,FALSE,200
"Cooking Essentials","Sunfeast Yippee! Mood Masala Noodles",60.00,28,3,43.00,260,FALSE,260
"Cooking Essentials","Chef's Basket Durum Wheat Elbow Pasta",160.00,50,6,80.00,500,FALSE,500
"Cooking Essentials","MTR Breakfast Khatta Meetha Poha Mix",25.00,20,6,20.00,60,FALSE,60
"Cooking Essentials","Satyam Khobra",113.00,10,5,101.00,200,FALSE,200
"Cooking Essentials","Betty Crocker Complete Pancake Mix Original",110.00,4,6,105.00,250,FALSE,500
"Cooking Essentials","Borges Durum Wheat Fusilli Pasta",250.00,0,3,250.00,500,FALSE,500
"Cooking Essentials","24 Mantra Organic Green Moong Dal - Split",135.00,0,2,135.00,500,FALSE,500
"Cooking Essentials","Weikfield Vanilla Flavoured Custard Powder",37.00,0,6,37.00,100,FALSE,100
"Cooking Essentials","Tata Sampann Moong Dal Split",180.00,1,5,178.00,1000,FALSE,200
"Cooking Essentials","Tata Sampann Kala Chana",64.00,0,5,64.00,500,FALSE,500
"Cooking Essentials","Saffola Soya Chunks Mealmaker",50.00,0,2,50.00,200,FALSE,200
"Cooking Essentials","24 Mantra Bura Sugar (Demerara)",80.00,10,6,72.00,500,FALSE,500
"Cooking Essentials","Popular Essentials Green Cardamom (Elaichi)",200.00,1,6,198.00,50,FALSE,50
"Cooking Essentials","Hershey's Syrup Delicious Strawberry",95.00,0,1,95.00,200,FALSE,200
"Cooking Essentials","Popular Essentials Anjeer",190.00,11,4,169.00,100,FALSE,100
"Cooking Essentials","Popular Essentials Mustard Seeds Rai Small",20.00,0,2,20.00,100,FALSE,100
"Cooking Essentials","Weikfield Baking Powder",33.00,3,6,32.00,100,FALSE,100
"Cooking Essentials","Dabur Honey Squeezy",185.00,9,6,167.00,225,FALSE,225
"Cooking Essentials","Tata Sampann High Protein Kali Urad",91.00,14,6,78.00,500,FALSE,500
"Cooking Essentials","Everest Kitchen King Masala",37.00,2,6,36.00,50,FALSE,50
"Cooking Essentials","Chef's Basket Durum Wheat Fusilli Pasta",160.00,50,6,80.00,500,FALSE,500
"Cooking Essentials","TilSona Til Oil",180.00,10,2,162.00,500,FALSE,500
"Cooking Essentials","Top Ramen Chicken Noodles",60.00,10,1,54.00,280,FALSE,280
"Cooking Essentials","Everest Chaat Masala",35.00,2,1,34.00,50,FALSE,50
"Cooking Essentials","Keya Wonder Red Hot Chilli Flakes",89.00,10,2,80.00,40,FALSE,40
"Cooking Essentials","Popular Essentials White Peas (Un-Polished)",80.00,10,5,72.00,500,FALSE,500
"Cooking Essentials","Ching’s Secret Chowmein Hakka Noodles Masala",44.00,0,2,44.00,60,FALSE,60
"Cooking Essentials","Dhara Filtered Groundnut Oil (Jar)",1050.00,1,6,1035.00,5000,FALSE,5
"Cooking Essentials","Pillsbury Choco Chip Pancake Mix",99.00,5,6,94.00,165,FALSE,165
"Cooking Essentials","Hershey's Caramel Syrup",230.00,0,1,230.00,623,FALSE,623
"Cooking Essentials","Pillsbury Multi Grain Atta",60.00,6,3,56.00,1000,FALSE,1
"Cooking Essentials","McCain New Mini Samosa with Cheese Corn Style Filling",120.00,1,2,118.00,240,FALSE,240
"Cooking Essentials","Satyam Puffed Rice Kurmura (A)",43.00,0,6,43.00,200,FALSE,200
"Cooking Essentials","MTR 3 Min Poha",25.00,0,6,25.00,60,FALSE,60
"Cooking Essentials","Ching's Manchurian Instant Noodles",15.00,0,5,15.00,60,FALSE,60
"Cooking Essentials","Everest Pav Bhaji Masala",70.00,0,2,70.00,100,FALSE,100
"Cooking Essentials","Hershey's Chocolate Flavour Syrup",220.00,6,6,205.00,623,FALSE,680
"Cooking Essentials","Popular Essentials Dhania (Coriander Seeds)",55.00,16,4,46.00,200,FALSE,200
"Cooking Essentials","24 Mantra Red Chilly Whole",70.00,7,1,65.00,100,FALSE,100
"Cooking Essentials","Dabur Honey - World's No.1",120.00,0,6,120.00,250,FALSE,250
"Cooking Essentials","24 Mantra Organic Puffed Rice",40.00,2,6,39.00,200,FALSE,200
"Cooking Essentials","24 Mantra Organic Wheat Daliya",48.00,2,2,47.00,500,FALSE,500
"Cooking Essentials","24 Mantra Organic Ragi Flour",65.00,20,4,52.00,500,FALSE,500
"Cooking Essentials","Popular Essentials Cinnamon Whole (Dalchini)",35.00,5,6,33.00,25,FALSE,25
"Cooking Essentials","Sundrop Super Lite Advanced - Sunflower Oil",215.00,0,4,215.00,1000,FALSE,1
"Cooking Essentials","Pillsbury Atta/Godihittu - Chakki Fresh",102.00,7,4,94.00,2000,FALSE,2
"Cooking Essentials","Popular Essentials Green Moong Chilka/Chilka (Un-Polished)",85.00,7,5,79.00,500,FALSE,500
"Cooking Essentials","Popular Essentials HMT Kolam Steam",75.00,0,3,75.00,1000,FALSE,1
"Cooking Essentials","Popular Essentials Black Urad Split",80.00,10,4,72.00,500,FALSE,500
"Cooking Essentials","Keya Oregano",109.00,10,5,98.00,9,FALSE,9
"Cooking Essentials","Popular Essentials Pink Rajma",100.00,10,6,90.00,500,FALSE,500
"Cooking Essentials","Everest Chicken Masala",74.00,2,6,72.00,100,FALSE,100
"Cooking Essentials","Popular Essentials HMT Kolam Steam",370.00,10,6,333.00,5000,FALSE,5
"Cooking Essentials","Everest Shahi Paneer Masala",42.00,4,5,40.00,50,FALSE,50
"Cooking Essentials","Godrej Yummiez Chicken Nuggets",325.00,9,1,293.00,500,FALSE,500
"Cooking Essentials","Flying Bird Vanilla Essence",35.00,2,6,34.00,20,FALSE,20
"Cooking Essentials","Everest Sabji Masala",30.00,3,6,29.00,50,FALSE,50
"Cooking Essentials","Popular Essentials Californian Almond",695.00,32,6,470.00,500,FALSE,500
"Cooking Essentials","Cornitos Cornitos Taco Shells - 4 Inches",110.00,20,6,88.00,80,FALSE,80
"Cooking Essentials","Everest Rajma Masala",33.00,3,5,32.00,50,FALSE,50
"Cooking Essentials","Popular Essentials White Til",40.00,5,1,38.00,100,FALSE,100
"Cooking Essentials","Amul Dark Compound Chocolate Slab",125.00,2,6,122.00,500,FALSE,500
"Cooking Essentials","Mothers Recipe Papad Chana Masala",79.00,10,6,71.00,200,FALSE,200
"Cooking Essentials","Ching's Schezwan Masala Instant Noodles",60.00,0,1,60.00,240,FALSE,240
"Cooking Essentials","Amul Milk Compound Chocolate Slab",110.00,2,6,107.00,500,FALSE,500
"Cooking Essentials","Eastern Chicken Masala",70.00,7,3,65.00,100,FALSE,100
"Cooking Essentials","Popular Essentials Methi Seeds",25.00,0,5,25.00,100,FALSE,100
"Cooking Essentials","Saffola Yummy Masala Noodles",20.00,0,2,20.00,46,FALSE,46
"Cooking Essentials","Cadbury Hot Chocolate",175.00,5,6,166.00,200,FALSE,200
"Cooking Essentials","Ching's Chicken Chilli Masala",10.00,0,6,10.00,20,FALSE,20
"Cooking Essentials","Dabur Keora water - Authentic flavour for Biryani's and Desserts",62.00,6,6,58.00,250,FALSE,250
"Cooking Essentials","Popular Essentials Black Cardamom/Elaichi",100.00,10,6,90.00,50,FALSE,50
"Cooking Essentials","Popular Essentials Idli Rice",60.00,10,4,54.00,1000,FALSE,1
"Cooking Essentials","Everest Chole Masala",33.00,3,1,32.00,50,FALSE,50
"Cooking Essentials","Dabur Hommade Tamarind Paste",48.00,6,6,45.00,200,FALSE,200
"Cooking Essentials",""Maggi Magic Cubes, Vegetarian Masala (Free 2 Cubes Inside)"",35.00,2,6,34.00,48,FALSE,48
"Cooking Essentials","Popular Essentials Cooking Soda",30.00,10,6,27.00,200,FALSE,200
"Cooking Essentials","RRO Primio Refined Groundnut Oil Pet Bottle",255.00,6,2,239.00,1000,FALSE,1
"Cooking Essentials","Everest Pani Puri Masala",31.00,3,6,30.00,50,FALSE,50
"Cooking Essentials","Nissin Cup Noodles Tangy Tomato",50.00,10,2,45.00,70,FALSE,70
"Cooking Essentials","Ching's Veg Manchurian Masala",10.00,0,2,10.00,20,FALSE,20
"Cooking Essentials","Ceres Foods Fish Mustard Instant Liquid Masala",220.00,50,6,110.00,200,FALSE,200
"Cooking Essentials","Everest Garam Masala",158.00,10,6,142.00,200,FALSE,200
"Cooking Essentials","24 Mantra Organic Jowar Flour",70.00,7,6,65.00,500,FALSE,500
"Cooking Essentials","Maggi Coconut Milkpowder",100.00,0,6,100.00,100,FALSE,100
"Cooking Essentials","On1y Pepper Grinder",159.00,9,1,144.00,50,FALSE,50
"Cooking Essentials","Popular Essentials Rice Flour",60.00,0,3,60.00,1000,FALSE,1
"Cooking Essentials","Sunfeast Yippee! Pasta Treat - Sour Cream Onion",28.00,10,1,25.00,65,FALSE,65
"Cooking Essentials","24 Mantra Organic Brown Sona Masoori Rice",95.00,0,6,95.00,1000,FALSE,1
"Cooking Essentials","Happilo Premium Afghani Anjeer",365.00,29,2,256.00,200,FALSE,200
"Cooking Essentials","Popular Essentials Chiroti Sooji",35.00,2,6,34.00,500,FALSE,500
"Cooking Essentials","RRO Til Dil Premium Til Oil Bottle",330.00,10,5,294.00,1000,FALSE,1
"Cooking Essentials","Popular Essentials Red Rajma",90.00,10,6,81.00,500,FALSE,500
"Cooking Essentials","Cornitos Peanut - Premium Salted",120.00,10,6,108.00,150,FALSE,150
"Cooking Essentials","Popular Essentials Black Pepper",100.00,10,5,90.00,100,FALSE,100
"Cooking Essentials","24 Mantra Organic Tur Dal - Split",130.00,7,6,120.00,500,FALSE,500
"Cooking Essentials","Sugarfree Gold Low Calorie Sweetner",65.00,6,3,61.00,110,FALSE,100
"Cooking Essentials","Ching's Secret Paneer Chilli Masala",10.00,0,2,10.00,20,FALSE,20
"Cooking Essentials","Dabur Honey",220.00,7,3,204.00,500,FALSE,500
"Cooking Essentials","Sunfeast Yippee! Pasta Treat - Sour Cream Onion",28.00,17,3,23.00,65,FALSE,65
"Cooking Essentials","Everest Tea Masala",55.00,9,2,50.00,50,FALSE,50
"Cooking Essentials","Ching's Paneer Chilli Masala",44.00,0,4,44.00,60,FALSE,60
"Cooking Essentials","Sunfeast YiPPee! Magic Masala Noodles",70.00,10,3,63.00,405,FALSE,405
